"Organisation"	"Peering Contact"	"Switch"	"AS number"	"LAN"	"ISP (v4)"	"ISP (v6)"	"Multicast"	"MDX"	"Peers with route server"	"Location"	"Connection"	"Policy"	"Speed"
"Luxembourg Online SA"	"network@online.lu"	"PXC-TEL-120"	"8632"	"ISP"	"80.249.210.124"	"2001:7f8:1::a500:8632:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Luxembourg Online SA"	"network@online.lu"	"PXC-SAR-114"	"8632"	"ISP"	"80.249.210.124"	"2001:7f8:1::a500:8632:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Lux Network"	"peering@luxnetwork.eu"	"mynl-phys-3690"	"29467"	"ISP"	"80.249.212.207"	"2001:7f8:1::a502:9467:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"LWLcom GmbH"	"sf@lwlcom.com"	"mym6-phys-3679"	"50629"	"ISP"	"80.249.212.106"	"2001:7f8:1::a505:629:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"selective"	"1GE"
"Lytzen IT"	"peering@lytzenit.dk"	"phys-20100122-126-003"	"59701"	"ISP"	"80.249.212.98"	"2001:7f8:1::a505:9701:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1GE"
"Machine Zone"	"peering@mz.com"	"mynl-phys-4521"	"22023"	"ISP"	"80.249.212.249"	"2001:7f8:1::a502:2023:1"	"no"	"no"	"no"	"Equinix AM7"	""	"open"	"1GE"
"Machine Zone"	"peering@mz.com"	"mym6-phys-3762"	"22023"	"ISP"	"80.249.212.250"	"2001:7f8:1::a502:2023:2"	"no"	"no"	"no"	"Equinix AM7"	""	"open"	"1GE"
"MainOne"	"peering@mainone.net"	"PXC-TEL-138"	"37282"	"ISP"	"80.249.208.138"	"2001:7f8:1::a503:7282:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"MANX Telecom Ltd."	"peering@manx-telecom.com"	"EDGE-SAR-010"	"13122"	"ISP"	"80.249.209.178"	""	"no"	"no"	"yes"	"Interxion Science Park"	"SX"	"open"	"1GE"
"Marktplaats B.V."	"mmoerman@ebay.com"	"PXC-IXN-124"	"41552"	"ISP"	"80.249.209.112"	"2001:7f8:1::a504:1552:2"	"no"	"no"	"yes"	"InterXion"	"ER"	"open"	"10GE"
"Marston's Telecoms Ltd"	""	"mym6-phys-2368"	"61124"	"ISP"	"80.249.211.223"	""	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"MaxCDN"	"peering@stackpath.com"	"PXC-EQ3-160"	"54104"	"ISP"	"80.249.212.115"	"2001:7f8:1::a505:4104:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"case-by-case"	"10GE"
"MaxiTEL Telecom B.V."	"noc@maxitel.nl"	"mym6-phys-3406"	"61349"	"ISP"	"80.249.211.28"	"2001:7f8:1::a506:1349:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"MaxPoint Interactive UK, Ltd."	"it@maxpoint.com"	"PXC-EQX-139"	"202197"	"ISP"	"80.249.211.103"	"2001:7f8:1:0:a500:20:2197:1"	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"MCKAYCOM LTD"	"peering@mckay.com"	"mym6-phys-3790"	"50763"	"ISP"	"80.249.210.99"	"2001:7f8:1::a505:763:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"Meanie"	"peering@meanie.nl"	"phys-20101021-125-001"	"31019"	"ISP"	"80.249.211.199"	"2001:7f8:1::a503:1019:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"MediaMath"	"peering@mediamath.com"	"PXC-EQ3-145"	"30419"	"ISP"	"80.249.211.46"	""	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"MediaMonks"	"peering@mediamonks.com"	"PXC-NIK-127"	"61200"	"ISP"	"80.249.213.62"	"2001:7f8:1::a506:1200:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"Media Network Services AS"	"peering@medianetworkservices.com"	"EDGE-TEL-012"	"44654"	"ISP"	"80.249.208.176"	"2001:7f8:1::a504:4654:1"	"no"	"no"	"yes"	"Equinix AM7"	"LX"	"open"	"1GE"
"Megagroup.ru LLC"	"peering@megagroup.ru"	"mym6-phys-4209-2962"	"60357"	"ISP"	"80.249.212.128"	"2001:7f8:1::a506:357:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"Melbikomas UAB"	"peering@melbicom.net"	"PXC-TEL-147"	"56630"	"ISP"	"80.249.212.199"	"2001:7f8:1::a505:6630:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"MEO - Serviços de Comunicações e Multimédia, S.A."	"peering@cprm.net"	"PXC-TEL-105"	"8657"	"ISP"	"80.249.208.217"	"2001:7f8:1::a500:8657:1"	"no"	"no"	"yes"	"Equinix AM7"	"ER"	"open"	"10GE"
"MEO - Serviços de Comunicações e Multimédia, S.A."	"peering@cprm.net"	"PXC-TEL-105"	"8657"	"ISP"	"80.249.208.217"	"2001:7f8:1::a500:8657:1"	"no"	"no"	"yes"	"Equinix AM7"	"ER"	"open"	"10GE"
"MEO - Serviços de Comunicações e Multimédia, S.A."	"peering@cprm.net"	"PXC-TEL-105"	"8657"	"ISP"	"80.249.208.217"	"2001:7f8:1::a500:8657:1"	"no"	"no"	"yes"	"Equinix AM7"	"ER"	"open"	"10GE"
"MESH GmbH"	"peering@as25074.net"	"PXC-EUN-113"	"25074"	"ISP"	"80.249.208.155"	"2001:7f8:1::a502:5074:1"	"no"	"no"	"yes"	"euNetworks"	"LR"	""	"10GE"
"MessageLabs Ltd"	"peering@symantec.com"	"PXC-TEL-158"	"21345"	"ISP"	"80.249.209.36"	"2001:7f8:1::a502:1345:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Metrolink"	"peering@metrolink.it"	"phys-20101021-125-001"	"8816"	"ISP"	"80.249.210.226"	"2001:7f8:1::a500:8816:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2FE"
"Metroset Ltd."	"peering@metro-set.ru"	"mym6-phys-4209-2962"	"50923"	"ISP"	"80.249.208.86"	"2001:7f8:1::a505:923:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"3GE"
"Micron21 Data Centre Pty Ltd"	"noc@micron21.com"	"PXC-EVO-157"	"38880"	"ISP"	"80.249.212.75"	"2001:7f8:1::a503:8880:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"open"	"10GE"
"Microsoft"	"peering@microsoft.com"	"PXC-GLO-135"	"8075"	"ISP"	"80.249.209.20"	"2001:7f8:1::a500:8075:1"	"no"	"no"	"yes"	"Global Switch"	"LR4"	""	"100GE"
"Microsoft"	"peering@microsoft.com"	"PXC-GLO-135"	"8075"	"ISP"	"80.249.209.20"	"2001:7f8:1::a500:8075:1"	"no"	"no"	"yes"	"Global Switch"	"LR4"	""	"100GE"
"Microsoft"	"peering@microsoft.com"	"PXC-TC5-156"	"8075"	"ISP"	"80.249.209.21"	"2001:7f8:1::a500:8075:2"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	""	"100GE"
"Microsoft"	"peering@microsoft.com"	"PXC-TC5-156"	"8075"	"ISP"	"80.249.209.21"	"2001:7f8:1::a500:8075:2"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	""	"100GE"
"Milecom"	"pd@milecom.ru"	"mym6-phys-4209-2962"	"48858"	"ISP"	"80.249.213.57"	"2001:7f8:1::a504:8858:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"Mint Company"	"noc@mintnetwork.tech"	"mynl-phys-5938"	"203040"	"ISP"	"80.249.213.95"	""	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1GE"
"M-net Telekommunikations GmbH"	"peering@m-net.de"	"PXC-EUN-113"	"8767"	"ISP"	"80.249.209.94"	"2001:7f8:1::a500:8767:1"	"no"	"no"	"yes"	"euNetworks"	"LR"	"open"	"10GE"
"M-net Telekommunikations GmbH"	"peering@m-net.de"	"PXC-EUN-113"	"8767"	"ISP"	"80.249.209.94"	"2001:7f8:1::a500:8767:1"	"no"	"no"	"yes"	"euNetworks"	"LR"	"open"	"10GE"
"Mobile Telecommunications Ltd"	"itnetwork@mtc.com.na"	"mym6-phys-3762"	"37009"	"ISP"	"80.249.209.57"	"2001:7f8:1::a503:7009:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"Mobiltel"	"sysadmin@spnet.net"	"mym6-phys-3682-3333"	"8717"	"ISP"	"80.249.210.67"	"2001:7f8:1::a500:8717:1"	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"3GE"
"Mojohost B.V."	"Peering@mojohost.eu"	"PXC-EVO-157"	"42567"	"ISP"	"80.249.212.37"	"2001:7f8:1::a504:2567:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"open"	"10GE"
"Moratel International Pte Ltd"	"peering@moratelindo.co.id"	"mym6-phys-4165"	"23947"	"ISP"	"80.249.212.164"	"2001:7f8:1::a502:3947:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"10GE"
"Motto VoIP B.V."	"jteeuwen@mottovoip.nl"	"mym6-phys-2403-3591"	"49405"	"ISP"	"80.249.210.57"	""	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"5FE"
"Motto VoIP B.V."	"jteeuwen@mottovoip.nl"	"mym6-phys-3790"	"49405"	"ISP"	"80.249.210.69"	""	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"5FE"
"MTN Group"	"bgp-admin@mtnns.net"	"PXC-GLO-135"	"16637"	"ISP"	"80.249.208.117"	"2001:7f8:1::a501:6637:2"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"MTN Group"	"bgp-admin@mtnns.net"	"PXC-GLO-135"	"16637"	"ISP"	"80.249.208.117"	"2001:7f8:1::a501:6637:2"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"MTN Group"	"bgp-admin@mtnns.net"	"PXC-GLO-135"	"16637"	"ISP"	"80.249.208.117"	"2001:7f8:1::a501:6637:2"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"MTN Group"	"bgp-admin@mtnns.net"	"PXC-GLO-135"	"16637"	"ISP"	"80.249.208.117"	"2001:7f8:1::a501:6637:2"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"MTN Group"	"bgp-admin@mtnns.net"	"PXC-GLO-135"	"16637"	"ISP"	"80.249.208.117"	"2001:7f8:1::a501:6637:2"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"MTS PJSC"	"peering@mtu.ru"	"PXC-TEL-152"	"8359"	"ISP"	"80.249.209.188"	"2001:7f8:1::a500:8359:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"MTS PJSC"	"peering@mtu.ru"	"PXC-TEL-152"	"8359"	"ISP"	"80.249.209.188"	"2001:7f8:1::a500:8359:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"MTS PJSC"	"peering@mtu.ru"	"PXC-TEL-152"	"8359"	"ISP"	"80.249.209.188"	"2001:7f8:1::a500:8359:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"MTS PJSC"	"peering@mtu.ru"	"PXC-TEL-152"	"8359"	"ISP"	"80.249.209.188"	"2001:7f8:1::a500:8359:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"MTS PJSC"	"peering@mtu.ru"	"PXC-TEL-152"	"8359"	"ISP"	"80.249.209.188"	"2001:7f8:1::a500:8359:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"MTS PJSC"	"peering@mtu.ru"	"PXC-TEL-152"	"8359"	"ISP"	"80.249.209.188"	"2001:7f8:1::a500:8359:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"MTS PJSC"	"peering@mtu.ru"	"PXC-TEL-152"	"8359"	"ISP"	"80.249.209.188"	"2001:7f8:1::a500:8359:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"MTS PJSC"	"peering@mtu.ru"	"PXC-TEL-152"	"8359"	"ISP"	"80.249.209.188"	"2001:7f8:1::a500:8359:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"MTX hub (MTX services Sarl)"	"grx@mtxc.eu"	"EDGE-NIK-011"	"13002"	"ISP"	"80.249.210.10"	"2001:7f8:1::a501:3002:1"	"no"	"no"	"yes"	"NIKHEF"	"LX"	"open"	"1GE"
"myLoc managed IT AG"	"peering@myLoc.de"	"PXC-NIK-133"	"24961"	"ISP"	"80.249.208.219"	"2001:7f8:1::a502:4961:1"	"no"	"no"	"no"	"NIKHEF"	"LR"	"selective"	"10GE"
"Myra Security GmbH "	"noc@myracloud.com"	"PXC-EVO-143"	"20546"	"ISP"	"80.249.213.81"	"2001:7f8:1::a502:546:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"open"	"10GE"
"Naitways"	"peering@naitways.com"	"phys-20101021-125-001"	"57119"	"ISP"	"80.249.211.253"	"2001:7f8:1::a505:7119:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"Nasstar"	"asn-peering@nasstar.com"	"mym6-phys-2368"	"39179"	"ISP"	"80.249.210.251"	"2001:7f8:1::a503:9179:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2FE"
"National Research Centre «Kurchatov Institute»"	"noc@computing.kiae.ru"	"PXC-NIK-126"	"59624"	"ISP"	"80.249.212.186"	"2001:7f8:1::a505:9624:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Navaho"	"peering@navaho.fr"	"mym6-phys-1390"	"8399"	"ISP"	"80.249.211.63"	"2001:7f8:1::a500:8399:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"none"	"1GE"
"Naver Business Platform Corp"	"peering@navercorp.com"	"mym6-phys-3790"	"23576"	"ISP"	"80.249.211.220"	""	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2GE"
"NDIX"	"noc@ndix.net"	"mynl-phys-5319"	"206676"	"ISP"	"80.249.213.35"	"2001:7f8:1:0:a500:20:6676:1"	"no"	"no"	"yes"	"NIKHEF"	""	"route server only"	"1GE"
"Nederlandse Gasunie"	"peering@gasunie.nl"	"phys-20100122-126-003"	"56953"	"ISP"	"80.249.211.176"	"2001:7f8:1::a505:6953:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1GE"
"NedZone Internet B.V."	"peering@nedzone.nl"	"PXC-TEL-138"	"25459"	"ISP"	"80.249.209.68"	"2001:7f8:1::a502:5459:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Neotelecoms SAS"	"peering@as8218.eu"	"PXC-TEL-125"	"8218"	"ISP"	"80.249.209.53"	"2001:7f8:1::a500:8218:2"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"Nerim"	"antoine.versini@corp.nerim.net"	"PXC-TEL-125"	"13193"	"ISP"	"80.249.209.198"	"2001:7f8:1::a501:3193:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Net365"	"peering@net365.biz"	"phys-20101021-125-001"	"62267"	"ISP"	"80.249.211.38"	""	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"NetAndWork"	"helpdesk@netandwork.net"	"mym6-phys-3840"	"201877"	"ISP"	"80.249.211.219"	""	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"1FE"
"Net By Net Holding LLC"	"noc@ti.ru"	"PXC-EQX-132"	"12714"	"ISP"	"80.249.211.41"	"2001:7f8:1::a501:2714:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"NetCologne GmbH"	"peering@netcologne.de"	"PXC-TEL-106"	"8422"	"ISP"	"80.249.209.62"	"2001:7f8:1::a500:8422:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"NetCologne GmbH"	"peering@netcologne.de"	"PXC-TEL-106"	"8422"	"ISP"	"80.249.209.62"	"2001:7f8:1::a500:8422:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"NetCologne GmbH"	"peering@netcologne.de"	"PXC-TEL-106"	"8422"	"ISP"	"80.249.209.62"	"2001:7f8:1::a500:8422:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"NetCologne GmbH"	"peering@netcologne.de"	"PXC-TEL-106"	"8422"	"ISP"	"80.249.209.62"	"2001:7f8:1::a500:8422:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"NetCologne GmbH"	"peering@netcologne.de"	"PXC-EQ3-153"	"8422"	"ISP"	"80.249.213.74"	"2001:7f8:1::a500:8422:2"	"no"	"no"	"yes"	"Equinix AM3"	"LR4"	"open"	"100GE"
"Neterra Ltd."	"peering@neterra.net"	"mynl-phys-3271-5380"	"34224"	"ISP"	"80.249.209.26"	"2001:7f8:1::a503:4224:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1GE"
"Netflix Streaming Services Luxembourg S.a.r.l."	"peering@netflix.com"	"PXC-TC5-156"	"2906"	"ISP"	"80.249.210.250"	"2001:7f8:1::a500:2906:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"100GE"
"Netflix Streaming Services Luxembourg S.a.r.l."	"peering@netflix.com"	"PXC-TC5-163"	"2906"	"ISP"	"80.249.210.250"	"2001:7f8:1::a500:2906:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"100GE"
"Netflix Streaming Services Luxembourg S.a.r.l."	"peering@netflix.com"	"PXC-TC5-144"	"2906"	"ISP"	"80.249.211.250"	"2001:7f8:1::a500:2906:2"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"0GE"
"Netflix Streaming Services Luxembourg S.a.r.l."	"peering@netflix.com"	"PXC-TC5-156"	"2906"	"ISP"	"80.249.211.250"	"2001:7f8:1::a500:2906:2"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"100GE"
"NetIX Communications Ltd."	"peering@netix.net"	"mynl-phys-3271-5380"	"57463"	"ISP"	"80.249.210.80"	"2001:7f8:1::a505:7463:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"7GE"
"Netnod"	"peering@netnod.se"	"EDGE-EQX-015"	"8674"	"ISP"	"80.249.208.56"	"2001:7f8:1::a500:8674:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"T"	""	"1GE"
"Netnod"	"peering@netnod.se"	"EDGE-EQX-015"	"8674"	"ISP"	"80.249.209.92"	"2001:7f8:1::a500:8674:2"	"no"	"no"	"yes"	"Equinix AM1/2"	"T"	""	"1GE"
"netplus.ch SA"	"peering@netplus.ch"	"PXC-TEL-152"	"15547"	"ISP"	"80.249.212.158"	"2001:7f8:1::a501:5547:2"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"selective"	"10GE"
"Netrouting"	"peering@netrouting.com"	"PXC-TEL-125"	"47869"	"ISP"	"80.249.209.202"	"2001:7f8:1::a504:7869:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Netsign GmbH "	"peering@netsign.net"	"mym6-phys-3679"	"31078"	"ISP"	"80.249.210.64"	"2001:7f8:1::a503:1078:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"Netwerkvereniging Coloclue"	"routers@coloclue.net"	"EDGE-EUN-014"	"8283"	"ISP"	"80.249.211.161"	"2001:7f8:1::a500:8283:1"	"no"	"no"	"yes"	"euNetworks"	"LX"	"open"	"1GE"
"Network Platforms"	"peering@as37497.net"	"mym6-phys-2368"	"37497"	"ISP"	"80.249.213.88"	"2001:7f8:1::a503:7497:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"Networx BG LTD"	"peering@networx.bg"	"mym6-phys-3682-3333"	"34569"	"ISP"	"80.249.212.78"	""	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"2GE"
"Neuronnexion"	"peering@nnx.com"	"mym6-phys-2090"	"9036"	"ISP"	"80.249.210.36"	""	"no"	"no"	"yes"	"Equinix AM5"	""	"open"	"1FE"
"New Continuum Holdings Corp."	"peering@newcontinuuum.net"	"phys-20101021-125-001"	"53264"	"ISP"	"80.249.212.134"	"2001:7f8:1::a505:3264:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"route server only"	"1FE"
"Nexellent AG"	"peering@nexellent.net"	"phys-20101021-125-001"	"31424"	"ISP"	"80.249.208.118"	"2001:7f8:1::a503:1424:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"Nexeon Technologies, Inc."	"peering@as20278.net"	"mym6-phys-2368"	"20278"	"ISP"	"80.249.212.166"	"2001:7f8:1::a502:278:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"next layer GmbH"	"peering@nextlayer.at"	"PXC-NIK-126"	"1764"	"ISP"	"80.249.211.123"	"2001:7f8:1::a500:1764:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"next layer GmbH"	"peering@nextlayer.at"	"PXC-NIK-126"	"1764"	"ISP"	"80.249.211.123"	"2001:7f8:1::a500:1764:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Nexusguard Limited"	"infra@nexusguard.com"	"PXC-EQX-139"	"45474"	"ISP"	"80.249.212.53"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Nexusguard Limited"	"infra@nexusguard.com"	"PXC-EQX-139"	"45474"	"ISP"	"80.249.212.53"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Nexusguard Limited"	"infra@nexusguard.com"	"PXC-EQX-139"	"45474"	"ISP"	"80.249.212.53"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Nexusguard Limited"	"infra@nexusguard.com"	"PXC-EQX-139"	"45474"	"ISP"	"80.249.212.53"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Nexusguard Limited"	"infra@nexusguard.com"	"PXC-EQX-139"	"45474"	"ISP"	"80.249.212.53"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Nexusguard Limited"	"infra@nexusguard.com"	"PXC-EQX-139"	"45474"	"ISP"	"80.249.212.53"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Nexusguard Limited"	"infra@nexusguard.com"	"PXC-EQX-139"	"45474"	"ISP"	"80.249.212.53"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Nexus Srl"	"francesco.varano@nexusway.it"	"mym6-phys-3840"	"199947"	"ISP"	"80.249.211.111"	"2001:7f8:1:0:a500:19:9947:1"	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"1GE"
"NFOrce Entertainment BV"	"noc@nforce.com"	"PXC-GLO-149"	"43350"	"ISP"	"80.249.210.175"	"2001:7f8:1::a504:3350:2"	"no"	"no"	"yes"	"Global Switch"	"LR4"	"open"	"100GE"
"NFOrce Entertainment BV"	"noc@nforce.com"	"mynl-phys-4631"	"43350"	"ISP"	"80.249.208.228"	"2001:7f8:1::a504:3350:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"90GE"
"nianet a/s"	"peering@nianet.dk"	"PXC-SAR-111"	"31027"	"ISP"	"80.249.208.233"	"2001:7f8:1::a503:1027:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"nianet a/s"	"peering@nianet.dk"	"PXC-SAR-111"	"31027"	"ISP"	"80.249.208.233"	"2001:7f8:1::a503:1027:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"nianet a/s"	"peering@nianet.dk"	"PXC-SAR-111"	"31027"	"ISP"	"80.249.208.233"	"2001:7f8:1::a503:1027:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"nianet a/s"	"peering@nianet.dk"	"PXC-SAR-111"	"31027"	"ISP"	"80.249.208.233"	"2001:7f8:1::a503:1027:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"NORDUnet A/S"	"peering@nordu.net"	"PXC-SAR-114"	"2603"	"ISP"	"80.249.209.203"	"2001:7f8:1::a500:2603:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	""	"10GE"
"NORDUnet A/S"	"peering@nordu.net"	"PXC-SAR-114"	"2603"	"ISP"	"80.249.209.203"	"2001:7f8:1::a500:2603:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	""	"10GE"
"Novatel"	"noc@novatel.bg"	"mynl-phys-3526"	"41313"	"ISP"	"80.249.211.246"	"2001:7f8:1::a504:1313:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"5GE"
"NovoServe B.V."	"peering@as24875.net"	"PXC-NIK-133"	"24875"	"ISP"	"80.249.208.126"	"2001:7f8:1::a502:4875:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"NovoServe B.V."	"peering@as24875.net"	"PXC-NIK-133"	"24875"	"ISP"	"80.249.208.126"	"2001:7f8:1::a502:4875:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"NPO"	""	"PXC-TC5-159"	"25182"	"ISP"	"80.249.208.243"	"2001:7f8:1::a502:5182:2"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"case-by-case"	"100GE"
"NPO"	""	"PXC-NIK-126"	"25182"	"ISP"	"80.249.209.86"	"2001:7f8:1::a502:5182:1"	"no"	"no"	"yes"	"NIKHEF"	"LR4"	"case-by-case"	"100GE"
"NS Groep NV"	"peering@quanza.net"	"PXC-EUN-113"	"202189"	"ISP"	"80.249.211.128"	"2001:7f8:1:0:a500:20:2189:2"	"no"	"no"	"yes"	"euNetworks"	"LR"	"route server only"	"10GE"
"NS Groep NV"	"peering@quanza.net"	"PXC-TC4-155"	"202189"	"ISP"	"80.249.211.129"	"2001:7f8:1:0:a500:20:2189:1"	"no"	"no"	"yes"	"Digital Realty AMS04"	"LR"	"route server only"	"10GE"
"NTE Marked AS"	"peering@nteb.no"	"PXC-EQX-165"	"34087"	"ISP"	"80.249.213.73"	"2001:7f8:1::a503:4087:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"NTT Communications Global IP Network"	"peering@ntt.net"	"PXC-TEL-120"	"2914"	"ISP"	"80.249.208.36"	"2001:7f8:1::a500:2914:1"	"no"	"no"	"no"	"Equinix AM7"	"LR4"	"closed"	"100GE"
"NTT Communications Global IP Network"	"peering@ntt.net"	"PXC-TEL-120"	"2914"	"ISP"	"80.249.208.36"	"2001:7f8:1::a500:2914:1"	"no"	"no"	"no"	"Equinix AM7"	"LR4"	"closed"	"100GE"
"Nucleus"	"peering@nucleus.be"	"phys-20100122-126-003"	"39318"	"ISP"	"80.249.211.244"	"2001:7f8:1::a503:9318:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1GE"
